TEC #,X (m),Y (m),,
1,0.43871,0.00E+00,,
2,0.21935,-0.37993,,
3,-0.21935,-0.37993,,
4,-0.43871,0.00E+00,,
5,-0.21935,0.37993,,
6,0.21935,0.37993,,
7,0.42376,-0.11355,,
8,0.42376,0.11355,,
9,0.11355,-0.42376,,
10,0.11355,0.42376,,
11,-0.31021,-0.31021,,
12,-0.31021,0.31021,,
13,-0.42376,1.14E-01,,
14,-0.42376,-0.11355,,
15,-0.11355,0.42376,,
16,-0.11355,-0.42376,,
17,0.31021,0.31021,,
18,0.31021,-0.31021,,
19,3.80E-01,-0.21935,,
20,0.00E+00,-0.43871,,
21,-0.37993,-0.21935,,
22,-0.37993,0.21935,,
23,0.00E+00,0.43871,,
24,0.37993,0.21935,,
25,0.3525,0.00E+00,,
26,0.17625,-3.05E-01,,
27,-0.17625,-0.30527,,
28,-3.53E-01,0,,
29,-0.17625,0.30527,,
30,0.17625,0.30527,,
31,3.47E-01,-6.12E-02,,
32,3.47E-01,6.12E-02,,
33,1.21E-01,-0.33124,,
34,1.21E-01,3.31E-01,,
35,-2.27E-01,-0.27003,,
36,-0.22658,0.27003,,
37,-0.34714,6.12E-02,,
38,-3.47E-01,-6.12E-02,,
39,-0.12056,0.33124,,
40,-1.21E-01,-0.33124,,
41,2.27E-01,0.27003,,
42,0.22658,-2.70E-01,,
43,3.31E-01,-1.21E-01,,
44,3.31E-01,1.21E-01,,
45,6.12E-02,-0.34714,,
46,6.12E-02,0.34714,,
47,-0.27003,-0.22658,,
48,-0.27003,0.22658,,
49,-0.33124,1.21E-01,,
50,-3.31E-01,-0.12056,,
51,-6.12E-02,0.34714,,
52,-6.12E-02,-0.34714,,
53,2.70E-01,0.22658,,
54,0.27003,-2.27E-01,,
55,0.30527,-1.76E-01,,
56,0,-0.3525,,
57,-3.05E-01,-1.76E-01,,
58,-3.05E-01,0.17625,,
59,0,0.3525,,
60,0.30527,1.76E-01,,
61,0.28312,0.00E+00,,
62,0.14156,-2.45E-01,,
63,-0.14156,-0.24519,,
64,-0.28312,0.00E+00,,
65,-0.14156,0.24519,,
66,0.14156,0.24519,,
67,2.77E-01,-5.89E-02,,
68,2.77E-01,5.89E-02,,
69,8.75E-02,-0.26927,,
70,8.75E-02,2.69E-01,,
71,-1.89E-01,-0.2104,,
72,-0.18945,0.2104,,
73,-0.27694,5.89E-02,,
74,-0.27694,-5.89E-02,,
75,-8.75E-02,2.69E-01,,
76,-8.75E-02,-2.69E-01,,
77,0.18945,2.10E-01,,
78,0.18945,-0.2104,,
79,0.25865,-1.15E-01,,
80,2.59E-01,1.15E-01,,
81,2.96E-02,-2.82E-01,,
82,2.96E-02,0.28157,,
83,-2.29E-01,-0.16642,,
84,-2.29E-01,1.66E-01,,
85,-0.25865,0.11516,,
86,-0.25865,-0.11516,,
87,-2.96E-02,2.82E-01,,
88,-2.96E-02,-0.28157,,
89,0.22905,1.66E-01,,
90,0.22905,-1.66E-01,,
91,0.21375,0,,
92,0.10687,-1.85E-01,,
93,-0.10687,-0.18511,,
94,-0.21375,0,,
95,-0.10687,0.18511,,
96,1.07E-01,0.18511,,
97,0.20647,-5.53E-02,,
98,2.06E-01,5.53E-02,,
99,5.53E-02,-0.20647,,
100,5.53E-02,2.06E-01,,
101,-1.51E-01,-0.15114,,
102,-0.15114,1.51E-01,,
103,-0.20647,5.53E-02,,
104,-0.20647,-5.53E-02,,
105,-5.53E-02,0.20647,,
106,-5.53E-02,-0.20647,,
107,0.15114,0.15114,,
108,1.51E-01,-0.15114,,
109,0.18511,-0.10687,,
110,0.00E+00,-0.21375,,
111,-0.18511,-1.07E-01,,
112,-0.18511,0.10687,,
113,0.00E+00,0.21375,,
114,0.18511,1.07E-01,,
115,0.13945554,-3.74E-02,,
116,1.39E-01,3.74E-02,,
117,3.74E-02,-0.13945554,,
118,3.74E-02,1.39E-01,,
119,-1.02E-01,-0.10208854,,
120,-1.02E-01,1.02E-01,,
121,-1.39E-01,3.74E-02,,
122,-1.39E-01,-3.74E-02,,
123,-3.74E-02,1.39E-01,,
124,-3.74E-02,-0.13945554,,
125,1.02E-01,1.02E-01,,
126,0.10208854,-1.02E-01,,
127,6.50E-02,-3.75E-02,,
128,0,-7.50E-02,,
129,-6.50E-02,-3.75E-02,,
130,-6.50E-02,3.75E-02,,
131,0,7.50E-02,,
132,6.50E-02,3.75E-02,,
