TEC,cmd,enabled
1,-0.23053850399545725,1
2,-0.3727761509291695,1
3,0.5313101734290726,1
4,0.6032585635632716,1
5,0.5879586694931829,1
6,-0.26070535957835117,1
7,-0.6423023762296503,1
8,-0.7136497662005405,1
9,-0.5207213276364332,1
10,-0.24558811279570875,1
11,0.46822935512925057,1
12,0.5275371558225062,1
13,0.6838645686214216,1
14,0.7171707989220725,1
15,0.20945730459285325,1
16,-0.02754239288603677,1
17,-0.7466833919943039,1
18,-0.9558098938376866,1
19,-0.6055748265028784,1
20,0.17020236585794535,1
21,0.500576963083069,1
22,0.7414129016598183,1
23,0.1595689512949156,1
24,-0.49459647697555,1
